Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
HeadAt-null,0,Frd,Spk,-0.1335,37,116,0.15416666666666667,0.31896551724137934,1.0206896551724138,1.009493670886076
HeadDownN-null,0,Frd,Spk,-0.1335,32,90,0.13333333333333333,0.35555555555555557,1.1377777777777778,1.0668103448275863
HeadDownH-null,0,Frd,Spk,-0.1335,7,20,0.029166666666666667,0.35,1.1199999999999999,1.0576923076923077
HeadDownL-null,0,Frd,Spk,-0.1335,29,89,0.12083333333333333,0.3258426966292135,1.0426966292134832,1.0197916666666667
HeadUpL-null,0,Frd,Spk,-0.1335,21,52,0.0875,0.40384615384615385,1.2923076923076924,1.153225806451613
HeadSideN-null,0,Frd,Spk,-0.1335,14,36,0.058333333333333334,0.3888888888888889,1.2444444444444445,1.125
HeadNodLY-null,0,Frd,Spk,-0.1335,7,32,0.029166666666666667,0.21875,0.7,0.88
HeadNodNN-null,0,Frd,Spk,-0.1335,8,23,0.03333333333333333,0.34782608695652173,1.1130434782608696,1.0541666666666667
HeadNodLN-null,0,Frd,Spk,-0.1335,14,44,0.058333333333333334,0.3181818181818182,1.018181818181818,1.0083333333333333
BodyStraight-null,0,Frd,Spk,-0.1335,8,35,0.03333333333333333,0.22857142857142856,0.7314285714285714,0.8912037037037036
EyebrowUpN-null,0,Frd,Spk,-0.1335,26,88,0.10833333333333334,0.29545454545454547,0.9454545454545455,0.9758064516129031
EyebrowUpL-null,0,Frd,Spk,-0.1335,7,30,0.029166666666666667,0.23333333333333334,0.7466666666666667,0.8967391304347827
GestObjectManipulation-null,0,Frd,Spk,-0.1335,11,41,0.04583333333333333,0.2682926829268293,0.8585365853658538,0.9395833333333333
GestAdaptorArms-null,0,Frd,Spk,-0.1335,19,52,0.07916666666666666,0.36538461538461536,1.169230769230769,1.0833333333333335
RestArmsCrossed-null,0,Frd,Spk,-0.1335,14,45,0.058333333333333334,0.3111111111111111,0.9955555555555555,0.997983870967742
RestHandsTogether-null,0,Frd,Spk,-0.1335,21,62,0.0875,0.3387096774193548,1.0838709677419354,1.0396341463414633
