Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
BodyLeanN-null,2,Dom,Lstn,0.22555999999999998,3,13,0.01775147928994083,0.23076923076923078,1.1818181818181819,1.0461538461538462
SmileH-null,2,Dom,Lstn,0.22555999999999998,3,21,0.01775147928994083,0.14285714285714285,0.7316017316017316,0.9388560157790926
SmileN-null,2,Dom,Lstn,0.22555999999999998,5,35,0.029585798816568046,0.14285714285714285,0.7316017316017316,0.9388560157790926
SmileL-null,2,Dom,Lstn,0.22555999999999998,3,19,0.01775147928994083,0.15789473684210525,0.8086124401913876,0.955621301775148
GestObjectManipulation-null,2,Dom,Lstn,0.22555999999999998,5,32,0.029585798816568046,0.15625,0.8001893939393939,0.9537584922200307
GestAdaptorArms-null,2,Dom,Lstn,0.22555999999999998,6,26,0.03550295857988166,0.23076923076923078,1.1818181818181819,1.0461538461538462
RestArmsCrossed-null,2,Dom,Lstn,0.22555999999999998,5,26,0.029585798816568046,0.19230769230769232,0.9848484848484849,0.9963369963369964
RestOver-null,2,Dom,Lstn,0.22555999999999998,6,12,0.03550295857988166,0.5,2.5606060606060606,1.6094674556213018
RestUnder-null,2,Dom,Lstn,0.22555999999999998,3,15,0.01775147928994083,0.2,1.0242424242424244,1.0059171597633136
HeadAt-HeadDownN-null,2,Dom,Lstn,0.22555999999999998,3,10,0.01775147928994083,0.3,1.5363636363636364,1.1496196111580728
HeadDownN-HeadAt-null,2,Dom,Lstn,0.22555999999999998,3,15,0.01775147928994083,0.2,1.0242424242424244,1.0059171597633136
HeadAt-HeadNodNN-null,2,Dom,Lstn,0.22555999999999998,3,13,0.01775147928994083,0.23076923076923078,1.1818181818181819,1.0461538461538462
HeadAt-HeadNodLN-null,2,Dom,Lstn,0.22555999999999998,3,11,0.01775147928994083,0.2727272727272727,1.396694214876033,1.1065088757396448
HeadAt-GestAdaptorArms-null,2,Dom,Lstn,0.22555999999999998,4,8,0.023668639053254437,0.5,2.5606060606060606,1.6094674556213018
GestAdaptorArms-HeadAt-null,2,Dom,Lstn,0.22555999999999998,3,11,0.01775147928994083,0.2727272727272727,1.396694214876033,1.1065088757396448
HeadDownN-HeadNodNN-null,2,Dom,Lstn,0.22555999999999998,4,15,0.023668639053254437,0.26666666666666666,1.3656565656565656,1.097364174287251
HeadDownN-HeadNodLN-null,2,Dom,Lstn,0.22555999999999998,5,16,0.029585798816568046,0.3125,1.6003787878787878,1.1705217859064012
SmileN-HeadDownN-null,2,Dom,Lstn,0.22555999999999998,3,16,0.01775147928994083,0.1875,0.9602272727272727,0.9904415111515703
HeadDownN-GestAdaptorArms-null,2,Dom,Lstn,0.22555999999999998,3,9,0.01775147928994083,0.3333333333333333,1.707070707070707,1.2071005917159763
HeadDownN-RestOver-null,2,Dom,Lstn,0.22555999999999998,4,7,0.023668639053254437,0.5714285714285714,2.9264069264069263,1.8777120315581852
HeadDownH-GestObjectManipulation-null,2,Dom,Lstn,0.22555999999999998,3,6,0.01775147928994083,0.5,2.5606060606060606,1.6094674556213018
HeadDownH-RestOver-null,2,Dom,Lstn,0.22555999999999998,3,5,0.01775147928994083,0.6,3.0727272727272728,2.0118343195266273
HeadNodNN-HeadNodLN-null,2,Dom,Lstn,0.22555999999999998,3,12,0.01775147928994083,0.25,1.2803030303030303,1.0729783037475344
HeadNodNN-RestOver-null,2,Dom,Lstn,0.22555999999999998,3,3,0.01775147928994083,1.0,5.121212121212121,Infinity
RestOver-HeadNodLN-null,2,Dom,Lstn,0.22555999999999998,3,4,0.01775147928994083,0.75,3.840909090909091,3.2189349112426036
RestOver-GestObjectManipulation-null,2,Dom,Lstn,0.22555999999999998,3,6,0.01775147928994083,0.5,2.5606060606060606,1.6094674556213018
HeadAt-HeadDownN-GestAdaptorArms-null,2,Dom,Lstn,0.22555999999999998,3,4,0.01775147928994083,0.75,3.840909090909091,3.2189349112426036
HeadAt-HeadNodNN-HeadNodLN-null,2,Dom,Lstn,0.22555999999999998,3,3,0.01775147928994083,1.0,5.121212121212121,Infinity
HeadDownN-HeadNodNN-HeadNodLN-null,2,Dom,Lstn,0.22555999999999998,3,6,0.01775147928994083,0.5,2.5606060606060606,1.6094674556213018
HeadDownN-HeadNodNN-RestOver-null,2,Dom,Lstn,0.22555999999999998,3,3,0.01775147928994083,1.0,5.121212121212121,Infinity
HeadDownH-RestOver-GestObjectManipulation-null,2,Dom,Lstn,0.22555999999999998,3,5,0.01775147928994083,0.6,3.0727272727272728,2.0118343195266273
HeadAt-null,3,Dom,Lstn,-0.34608333333333335,13,53,0.07692307692307693,0.24528301886792453,1.8022969647251845,1.1446745562130176
HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,12,58,0.07100591715976332,0.20689655172413793,1.52023988005997,1.0892719320812965
HeadDownH-null,3,Dom,Lstn,-0.34608333333333335,4,14,0.023668639053254437,0.2857142857142857,2.0993788819875774,1.2094674556213016
HeadDownL-null,3,Dom,Lstn,-0.34608333333333335,9,52,0.05325443786982249,0.17307692307692307,1.2717391304347825,1.0447227191413238
HeadUpL-null,3,Dom,Lstn,-0.34608333333333335,4,18,0.023668639053254437,0.2222222222222222,1.6328502415458936,1.110735418427726
HeadUpN-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
HeadNodNY-null,3,Dom,Lstn,-0.34608333333333335,2,15,0.011834319526627219,0.13333333333333333,0.9797101449275362,0.9968138370505234
HeadNodNN-null,3,Dom,Lstn,-0.34608333333333335,6,41,0.03550295857988166,0.14634146341463414,1.0752916224814422,1.0120033812341505
HeadNodLN-null,3,Dom,Lstn,-0.34608333333333335,7,37,0.04142011834319527,0.1891891891891892,1.3901292596944772,1.065483234714004
HeadShakeLY-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
BodyStraight-null,3,Dom,Lstn,-0.34608333333333335,2,17,0.011834319526627219,0.11764705882352941,0.8644501278772379,0.9790927021696253
BodyLeanH-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
