% 1. Title: Touch Sequences Database
   %
   % 2. Sources:
   %      (a) Creators: F. Boucaud, M. Grimaldi
   %      (b) Donor:
   %      (c) Date: July, 2022
   %
   @RELATION touchsequences
   @ATTRIBUTE totalduration  NUMERIC
   @ATTRIBUTE initialimpactvelocity   NUMERIC
   @ATTRIBUTE meanforce  NUMERIC
   @ATTRIBUTE meanvelocity   NUMERIC
   @ATTRIBUTE tactilecells   string
   @ATTRIBUTE handparts   string
   @ATTRIBUTE class        {Hit,Caress,Tap,Maintained}
   @DATA
0.04103875, 15.16533, 0, 0,'RightArm,Spine1,LeftArm,HeadCollider,Spine,LeftForeArm,Spine1,Spine4,Spine3,RightForeArm','R_ring_c,R_ring_b,R_index_c,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_middle_c,R_pinky_end,R_index_c,R_index_b,R_middle_end,R_ring_end,R_index_a,R_index_end,R_thumb_b,R_thumb_end,R_ring_a',Caress
0.5990076, 0, 1.007312, 11.19228,'RightArm,Spine1,LeftArm,Spine3,HeadCollider,Spine,Spine4,Spine3,RightForeArm,RightHand','L_pinky_c,L_middle_c,L_middle_b,L_pinky_a,L_index_meta,L_middle_a,L_pinky_b,L_Wrist,L_pinky_meta,L_thumb_meta,L_pinky_end,L_ring_meta,L_ring_end,L_middle_meta,L_middle_end,L_middle_end,L_ring_b,L_ring_c,L_Palm,L_ring_a',Caress
0.02347231, 16.72191, 0, 0,'RightArm,Spine1,LeftArm,Spine3,HeadCollider,Spine,LeftForeArm,Spine4,Spine3,RightForeArm','R_ring_c,R_ring_b,R_index_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_ring_meta,R_middle_c,R_pinky_end,R_pinky_meta,R_index_c,R_middle_meta,R_index_b,R_middle_end,R_ring_end,R_index_a,R_thumb_b,R_thumb_end,R_index_end,R_thumb_a,R_ring_a',Caress
0.04155731, 13.41419, 0, 0,'RightArm,Spine1,LeftArm,Spine,LeftForeArm,Spine1,Spine3,RightForeArm','R_ring_c,R_ring_b,R_index_end,R_index_c,R_middle_end,R_pinky_b,R_pinky_c,R_ring_end,R_index_end,R_middle_b,R_middle_c,R_pinky_end',Hit
0.002758026, 7.693403, 0.8002499, 9.167833,'RightArm,Spine1,Spine,Spine1,Spine3,RightForeArm','L_index_b,L_index_a,L_pinky_c,L_middle_b,L_index_meta,L_pinky_a,L_middle_a,L_pinky_b,L_Wrist,L_pinky_meta,L_thumb_meta,L_ring_meta,L_middle_a,L_middle_meta,L_ring_b,L_ring_c,L_Palm,L_ring_a',Hit
0.001060486, 7.674458, 0, 0,'Spine1,Spine,Spine1,Spine3','R_ring_c,R_ring_b,R_middle_end,R_pinky_b,R_pinky_a,R_ring_end,R_pinky_c,R_middle_b,R_middle_c,R_pinky_end',Hit
0.002088547, 7.248196, 0, 0,'RightArm,LeftArm,Spine1,RightAr,Spine1,Spine3,RightForeArm','R_ring_c,R_ring_b,R_middle_c,R_index_c,R_index_b,R_middle_end,R_pinky_c,R_ring_end,R_index_end,R_middle_b,R_middle_c,R_pinky_end',Hit
0.03861237, 4.14378, 0, 0,'RightArm,Spine1,LeftArm,Spine,Spine1,Spine4,Spine3','R_pinky_a,R_pinky_b,R_pinky_c,R_ring_a,R_middle_a,R_middle_b,R_ring_meta,R_middle_c,R_pinky_end,R_pinky_meta,R_middle_meta,R_index_meta,R_index_c,R_index_b,R_index_a,R_thumb_end,R_ring_a,R_ring_c,R_ring_b,R_Wrist,R_thumb_meta,R_Palm,R_middle_end,R_ring_end,R_index_end,R_thumb_b,R_thumb_a',Hit
7.041592, 0.6985236, 0, 0,'Spine1,Spine3,Spine,Spine3','R_ring_c,R_ring_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_pinky_end,R_middle_c,R_ring_b,R_index_c,R_index_b,R_middle_end,R_index_a,R_ring_end,R_thumb_end,R_index_end,R_thumb_b,R_thumb_a,R_ring_a',Hit
0.6666479, 0, 0, 0,'RightArm,Spine1,Spine3,Spine,Spine3,RightForeArm,RightHand','L_index_c,L_index_b,L_pinky_c,L_index_a,L_middle_c,L_middle_b,L_pinky_a,L_pinky_b,L_middle_a,L_index_end,L_pinky_end,L_ring_end,L_middle_end,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_thumb_end,L_ring_a',Maintained
