0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0.000105787	0	1
5	0	0	0
6	0.155266	0.00238356	0.0277992
7	0	0	0
8	0.0568331	0.000520607	0.0217984
9	0	0.0263158	0
10	0.00081011	0	0
11	0.00440529	0	0.8
12	0	0	0
13	0.00184332	0.0108548	0.833333
14	0.0232372	0.00184247	0.0172414
15	0.0244044	0.00155942	0.0393782
16	0	0.0909091	0
17	0.675127	0.266304	0.0225564
18	0.264706	0.0625	0
19	0.108079	0.026788	0.0354757
20	0.285575	0.948836	0.0829966
21	0.0125829	0.00059036	0.0295455
22	0	0.000268528	0
23	0.0869565	0	0
24	0	0	0
25	0.0879121	0	0.875
26	0.0469376	0.00267917	0.134146
27	0.000714031	0	0
28	0	0.0740741	0
29	0	0	0
30	0.140643	7.83392e-05	0
31	0.583333	0	0
32	0.151304	0.000733541	0.00354191
33	0.222771	0.000370691	0.00594916
34	0.326679	0	0.00277778
35	0.18315	0	0
